variable,scenario,model,fname,fpath
tas,historical,NZESM_UM,tas_historical_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_NZESM_UM_daily_NZ5km_bc.nc
tas,historical,NorESM2-MM_CCAM,tas_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tas/tas_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmax,historical,ACCESS-CM2_CCAM,tasmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmax,historical,AWI-CM-1-1-MR_CCAM,tasmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmax,historical,CNRM-CM6-1_CCAM,tasmax_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmax,historical,EC-Earth3_CCAM,tasmax_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmax,historical,GFDL-ESM4_CCAM,tasmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmax,historical,NZESM_UM,tasmax_historical_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_NZESM_UM_daily_NZ5km_bc.nc
tasmax,historical,NorESM2-MM_CCAM,tasmax_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmax/tasmax_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
tasmin,historical,ACCESS-CM2_CCAM,tasmin_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
tasmin,historical,AWI-CM-1-1-MR_CCAM,tasmin_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
tasmin,historical,CNRM-CM6-1_CCAM,tasmin_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
tasmin,historical,EC-Earth3_CCAM,tasmin_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_EC-Earth3_CCAM_daily_NZ5km_bc.nc
tasmin,historical,GFDL-ESM4_CCAM,tasmin_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
tasmin,historical,NZESM_UM,tasmin_historical_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_NZESM_UM_daily_NZ5km_bc.nc
tasmin,historical,NorESM2-MM_CCAM,tasmin_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/historical/tasmin/tasmin_historical_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,ACCESS-CM2_CCAM,PEDsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,AWI-CM-1-1-MR_CCAM,PEDsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,CNRM-CM6-1_CCAM,PEDsrad_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,EC-Earth3_CCAM,PEDsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,GFDL-ESM4_CCAM,PEDsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PEDsrad,ssp126,NorESM2-MM_CCAM,PEDsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PEDsrad/PEDsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,ACCESS-CM2_CCAM,PETsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,AWI-CM-1-1-MR_CCAM,PETsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,CNRM-CM6-1_CCAM,PETsrad_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,EC-Earth3_CCAM,PETsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,GFDL-ESM4_CCAM,PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
PETsrad,ssp126,NorESM2-MM_CCAM,PETsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/PETsrad/PETsrad_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
hurs,ssp126,ACCESS-CM2_CCAM,hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,AWI-CM-1-1-MR_CCAM,hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,CNRM-CM6-1_CCAM,hurs_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,EC-Earth3_CCAM,hurs_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,GFDL-ESM4_CCAM,hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
hurs,ssp126,NZESM_UM,hurs_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_NZESM_UM_daily_NZ5km_raw.nc
hurs,ssp126,NorESM2-MM_CCAM,hurs_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/hurs/hurs_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
pr,ssp126,ACCESS-CM2_CCAM,pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc
pr,ssp126,AWI-CM-1-1-MR_CCAM,pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_bc.nc
pr,ssp126,CNRM-CM6-1_CCAM,pr_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_bc.nc
pr,ssp126,EC-Earth3_CCAM,pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_EC-Earth3_CCAM_daily_NZ5km_bc.nc
pr,ssp126,GFDL-ESM4_CCAM,pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_bc.nc
pr,ssp126,NZESM_UM,pr_ssp126_NZESM_UM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_NZESM_UM_daily_NZ5km_bc.nc
pr,ssp126,NorESM2-MM_CCAM,pr_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/pr/pr_ssp126_NorESM2-MM_CCAM_daily_NZ5km_bc.nc
rsds,ssp126,ACCESS-CM2_CCAM,rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,AWI-CM-1-1-MR_CCAM,rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_AWI-CM-1-1-MR_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,CNRM-CM6-1_CCAM,rsds_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_CNRM-CM6-1_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,EC-Earth3_CCAM,rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_EC-Earth3_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,GFDL-ESM4_CCAM,rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_GFDL-ESM4_CCAM_daily_NZ5km_raw.nc
rsds,ssp126,NZESM_UM,rsds_ssp126_NZESM_UM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_NZESM_UM_daily_NZ5km_raw.nc
rsds,ssp126,NorESM2-MM_CCAM,rsds_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/rsds/rsds_ssp126_NorESM2-MM_CCAM_daily_NZ5km_raw.nc
sfcWind,ssp126,ACCESS-CM2_CCAM,sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,https://climatedata.environment.govt.nz/files/data/daily/ssp126/sfcWind/sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc
